,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,票数
1,夹缝之间,WITHIN,郭大路,中国,90,6月10日,10:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,3
2,夹缝之间,WITHIN,郭大路,中国,90,6月16日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,3
3,剧场版 拥抱！光之美少女♡两人是光之美少女 群星回忆,HUG! PRETTY CURE FUTARI WA PRETTY CURE ALL STARS MEMORIES,宫本浩史,日本,73,6月12日,18:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,3
4,剧场版 拥抱！光之美少女♡两人是光之美少女 群星回忆,HUG! PRETTY CURE FUTARI WA PRETTY CURE ALL STARS MEMORIES,宫本浩史,日本,73,6月14日,13:00,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,3
5,剧场版 拥抱！光之美少女♡两人是光之美少女 群星回忆,HUG! PRETTY CURE FUTARI WA PRETTY CURE ALL STARS MEMORIES,宫本浩史,日本,73,6月15日,18:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,3
6,起舞的皮娜,DANCING PINA,弗洛里安·海因岑-齐奥布,德国,112,6月10日,13:00,上海美琪大戏院,观众厅,静安区江宁路66号,3
7,起舞的皮娜,DANCING PINA,弗洛里安·海因岑-齐奥布,德国,112,6月12日,18:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,3
8,起舞的皮娜,DANCING PINA,弗洛里安·海因岑-齐奥布,德国,112,6月13日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,3
9,起舞的皮娜,DANCING PINA,弗洛里安·海因岑-齐奥布,德国,112,6月16日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,3
10,随心所欲 (4K),MY LIFE TO LIVE (4K),让-吕克·戈达尔,法国,84,6月12日,20:40,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,3
11,随心所欲 (4K),MY LIFE TO LIVE (4K),让-吕克·戈达尔,法国,84,6月16日,20:40,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,3
12,随心所欲 (4K),MY LIFE TO LIVE (4K),让-吕克·戈达尔,法国,84,6月18日,20:40,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,3
13,阿尔法城,"ALPHAVILLE, A STRANGE ADVENTURE OF LEMMY CAUTION",让-吕克·戈达尔,法国,100,6月10日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,3
14,阿尔法城,"ALPHAVILLE, A STRANGE ADVENTURE OF LEMMY CAUTION",让-吕克·戈达尔,法国,100,6月15日,13:00,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,3
15,阿尔法城,"ALPHAVILLE, A STRANGE ADVENTURE OF LEMMY CAUTION",让-吕克·戈达尔,法国,100,6月16日,13:00,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,3
16,我略知她一二,TWO OR THREE THINGS I KNOW ABOUT HER,让-吕克·戈达尔,法国,88,6月13日,20:40,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,3
17,我略知她一二,TWO OR THREE THINGS I KNOW ABOUT HER,让-吕克·戈达尔,法国,88,6月15日,20:40,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,3
18,我略知她一二,TWO OR THREE THINGS I KNOW ABOUT HER,让-吕克·戈达尔,法国,88,6月16日,20:40,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,3
19,我略知她一二,TWO OR THREE THINGS I KNOW ABOUT HER,让-吕克·戈达尔,法国,88,6月18日,20:40,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,3
20,自画像,JLG/JLG: SELF-PORTRAIT IN DECEMBER,让-吕克·戈达尔,法国,56,6月11日,18:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼新天地A座2楼,3
